k_kinetics,ks_res,r2
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[ 1.55523950e-04  2.05009716e-06  3.74923323e-05 -2.76295974e-06
  7.17591733e-07 -1.19690561e-07  9.86982186e-04 -3.05409131e-02
  1.35453796e-02  5.41505396e-03 -2.25010075e-02]","0.8124185944967925"
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[ 1.09286942e+01  2.04942653e-06 -4.38683289e-04 -2.76212149e-06
  7.45077402e-07 -1.24622094e-07  1.64604602e-03 -3.21482913e-02
  1.36294175e-02  3.41023514e-03 -2.24970195e-02]","0.8132599345385618"
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[ 1.55524732e-04  2.88688204e-06  3.77191300e-05 -1.55697742e-06
  7.17591750e-07 -1.19690564e-07  9.86982036e-04 -3.05408644e-02
  1.35463562e-02  5.41505235e-03 -2.24999795e-02]","0.8124188475175166"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[ 1.05189550e-05  1.98638799e-06  1.44422521e-02 -2.48573933e-06
  6.98923245e-07 -1.16275862e-07  9.81719091e-04 -3.01011344e-02
  1.34726113e-02  5.71038284e-03 -2.25018311e-02]","0.8125377132530056"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[ 1.55523306e-04  1.76716618e-06  3.77164907e-05 -7.06301259e-07
  7.17591697e-07 -1.19690554e-07  9.86982085e-04 -3.05409175e-02
  1.35456623e-02  5.41505527e-03 -2.25007297e-02]","0.8124180715538909"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[ 1.56088577e-04  2.05044893e-06  3.61670667e-05 -2.76339776e-06
  3.91100026e-05 -3.16010713e-07  9.87002725e-04 -3.05422560e-02
  1.35455757e-02  5.41390398e-03 -2.25010050e-02]","0.8124229761423063"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[ 1.55396464e-04  2.05009735e-06  3.77941191e-05 -2.76296006e-06
  5.43024781e-07 -6.05568229e-07  9.86977572e-04 -3.05406074e-02
  1.35453324e-02  5.41531361e-03 -2.25010082e-02]","0.8124170382487262"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[ 1.81316668e-04  2.05041026e-06  2.46266369e-05 -2.76330392e-06
  7.18334608e-07 -1.19823831e-07  3.42735132e-04 -3.06745709e-02
  1.36462993e-02  5.36951913e-03 -2.25010628e-02]","0.8134512961052908"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[-2.77509508e-04  2.05814196e-06  6.74662673e-04 -2.77298110e-06
  6.90181174e-07 -1.14677855e-07  9.16862325e-04 -8.37288190e-03
  1.32967080e-02  6.30947096e-03 -2.00512231e-02]","0.7983958940970844"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[ 1.29980884e-03  4.10858245e-06  6.10161610e-04 -5.32651410e-06
  7.02489405e-07 -1.16466979e-07  8.00991377e-04 -2.92032787e-02
  2.50417292e-02  3.06665773e-03 -2.24977441e-02]","0.793370355698932"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[ 6.81451841e-04  2.04947748e-06 -2.25464968e-04 -2.76219008e-06
  7.32769291e-07 -1.22413795e-07  1.00826339e-03 -3.10855346e-02
  1.32831716e-02  7.00697997e-05 -2.24984598e-02]","0.8108134886555125"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[ 1.55214575e-04  2.10319221e-06  3.76751296e-05 -2.82908277e-06
  7.17582314e-07 -1.19688895e-07  9.86974825e-04 -3.09165883e-02
  1.35457153e-02  5.41569128e-03 -3.69194459e-04]","0.8142171969928428"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[ 3.49616636e+00  3.55816345e-06  5.97588870e-02 -4.61434736e-07
  2.10964356e-05 -1.15459062e-06  2.98915719e-04 -7.51800489e-03
  2.38296376e-02  8.05773487e-05 -3.19028547e-04]","0.7767488693235725"
